Tacgia,Link,Namsinh,Tags,Quote
Mother Teresa,/author/Mother-Teresa,"August 26, 1910","['misattributed-to-mother-teresa', 'paraphrased']",“Not all of us can do great things. But we can do small things with great love.”
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965","['death', 'inspirational']","“To the well-organized mind, death is but the next great adventure.”"
Charles M. Schulz,/author/Charles-M-Schulz,"November 26, 1922","['chocolate', 'food', 'humor']",“All you need is love. But a little chocolate now and then doesn't hurt.”
William Nicholson,/author/William-Nicholson,"January 12, 1948","['misattributed-to-c-s-lewis', 'reading']",“We read to know we're not alone.”
Albert Einstein,/author/Albert-Einstein,"March 14, 1879","['knowledge', 'learning', 'understanding', 'wisdom']",“Any fool can know. The point is to understand.”
Jorge Luis Borges,/author/Jorge-Luis-Borges,"August 24, 1899","['books', 'library']",“I have always imagined that Paradise will be a kind of library.”
George Eliot,/author/George-Eliot,"November 22, 1819",['inspirational'],“It is never too late to be what you might have been.”
George R.R. Martin,/author/George-R-R-Martin,"September 20, 1948","['read', 'readers', 'reading', 'reading-books']","“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”"
C.S. Lewis,/author/C-S-Lewis,"November 29, 1898","['books', 'inspirational', 'reading', 'tea']",“You can never get a cup of tea large enough or a book long enough to suit me.”
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926",[],“You believe lies so you eventually learn to trust no one but yourself.”
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926","['girls', 'love']","“If you can make a woman laugh, you can make her do anything.”"
Albert Einstein,/author/Albert-Einstein,"March 14, 1879","['life', 'simile']","“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926",['love'],“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926",['attributed-no-source'],"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”"
Martin Luther King Jr.,/author/Martin-Luther-King-Jr,"January 15, 1929","['hope', 'inspirational']",“Only in the darkness can you see the stars.”
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",['dumbledore'],"“It matters not what someone is born, but what they grow to be.”"
James Baldwin,/author/James-Baldwin,"August 02, 1924",['love'],"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”"
Jane Austen,/author/Jane-Austen,"December 16, 1775","['friendship', 'love']","“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”"
Eleanor Roosevelt,/author/Eleanor-Roosevelt,"October 11, 1884","['attributed', 'fear', 'inspiration']",“Do one thing every day that scares you.”
Marilyn Monroe,/author/Marilyn-Monroe,"June 01, 1926",['attributed-no-source'],"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”"
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",['music'],"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”"
Haruki Murakami,/author/Haruki-Murakami,"January 12, 1949","['books', 'thought']","“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”"
Alexandre Dumas fils,/author/Alexandre-Dumas-fils,"July 27, 1824",['misattributed-to-einstein'],“The difference between genius and stupidity is: genius has its limits.”
Stephenie Meyer,/author/Stephenie-Meyer,"December 24, 1973","['drug', 'romance', 'simile']","“He's like a drug for you, Bella.”"
Ernest Hemingway,/author/Ernest-Hemingway,"July 21, 1899","['books', 'friends', 'novelist-quotes']",“There is no friend as loyal as a book.”
Helen Keller,/author/Helen-Keller,"June 27, 1880",['inspirational'],"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”"
George Bernard Shaw,/author/George-Bernard-Shaw,"July 26, 1856","['inspirational', 'life', 'yourself']",“Life isn't about finding yourself. Life is about creating yourself.”
Charles Bukowski,/author/Charles-Bukowski,"August 16, 1920",['alcohol'],"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”"
Suzanne Collins,/author/Suzanne-Collins,"August 11, 1962",['the-hunger-games'],“You don’t forget the face of the person who was your last hope.”
Suzanne Collins,/author/Suzanne-Collins,"August 11, 1962",['humor'],"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”"
C.S. Lewis,/author/C-S-Lewis,"November 29, 1898",['love'],"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”"
J.R.R. Tolkien,/author/J-R-R-Tolkien,"January 03, 1892","['bilbo', 'journey', 'lost', 'quest', 'travel', 'wander']",“Not all those who wander are lost.”
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",['live-death-love'],"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”"
Ernest Hemingway,/author/Ernest-Hemingway,"July 21, 1899","['good', 'writing']",“There is nothing to writing. All you do is sit down at a typewriter and bleed.”
Ralph Waldo Emerson,/author/Ralph-Waldo-Emerson,"May 25, 1803","['life', 'regrets']",“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”
Mark Twain,/author/Mark-Twain,"November 30, 1835",['education'],“I have never let my schooling interfere with my education.”
Dr. Seuss,/author/Dr-Seuss,"March 02, 1904",['troubles'],“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”
Alfred Tennyson,/author/Alfred-Tennyson,"August 06, 1809","['friendship', 'love']",“If I had a flower for every time I thought of you...I could walk through my garden forever.”
Charles Bukowski,/author/Charles-Bukowski,"August 16, 1920",['humor'],“Some people never go crazy. What truly horrible lives they must lead.”
